series_id,Channel,Category,Customer Segment,Forecast Week,Forecast
CG|1 Jar|Key Account,CG,1 Jar,Key Account,2025-04-07,209.0018703995491
CG|2 Jars|Key Account,CG,2 Jars,Key Account,2025-04-07,391.60295750070446
CG|3 Jars|Key Account,CG,3 Jars,Key Account,2025-04-07,0.20614391564698822
CG|CKM|Key Account,CG,CKM,Key Account,2025-04-07,260.61150908453556
CG|NB Smart 2 Jar|Key Account,CG,NB Smart 2 Jar,Key Account,2025-04-07,197.8658224722978
CG|1 Jar|Regular,CG,1 Jar,Regular,2025-04-07,269.678026990253
CG|2 Jars|Regular,CG,2 Jars,Regular,2025-04-07,470.9424183689082
CG|3 Jars|Regular,CG,3 Jars,Regular,2025-04-07,181.26419521582173
CG|CKM|Regular,CG,CKM,Regular,2025-04-07,331.6823648829463
CG|NB Smart 2 Jar|Regular,CG,NB Smart 2 Jar,Regular,2025-04-07,248.0375687927803
CG|1 Jar|Top Account,CG,1 Jar,Top Account,2025-04-07,0.2237883703650145
CG|2 Jars|Top Account,CG,2 Jars,Top Account,2025-04-07,94.33840431813017
CG|3 Jars|Top Account,CG,3 Jars,Top Account,2025-04-07,41.03241028117023
CG|CKM|Top Account,CG,CKM,Top Account,2025-04-07,98.44558001396705
CG|NB Smart 2 Jar|Top Account,CG,NB Smart 2 Jar,Top Account,2025-04-07,54.726795811329936
Canteen|2 Jars|Key Account,Canteen,2 Jars,Key Account,2025-04-07,0.22385170290399922
Canteen|3 Jars|Key Account,Canteen,3 Jars,Key Account,2025-04-07,44.848634167907086
Canteen|CKM|Key Account,Canteen,CKM,Key Account,2025-04-07,25.311912470912766
Canteen|NB Smart 2 Jar|Key Account,Canteen,NB Smart 2 Jar,Key Account,2025-04-07,15.44438812220934
Canteen|2 Jars|Regular,Canteen,2 Jars,Regular,2025-04-07,0.2061593794032269
Canteen|3 Jars|Regular,Canteen,3 Jars,Regular,2025-04-07,423.98929440340504
Canteen|CKM|Regular,Canteen,CKM,Regular,2025-04-07,206.16828478131768
Canteen|NB Smart 2 Jar|Regular,Canteen,NB Smart 2 Jar,Regular,2025-04-07,182.71253632471655
Canteen|2 Jars|Top Account,Canteen,2 Jars,Top Account,2025-04-07,17.318321377517822
Canteen|3 Jars|Top Account,Canteen,3 Jars,Top Account,2025-04-07,10.131941062298917
Canteen|CKM|Top Account,Canteen,CKM,Top Account,2025-04-07,6.109381519445716
Canteen|NB Smart 2 Jar|Top Account,Canteen,NB Smart 2 Jar,Top Account,2025-04-07,4.597723824636672
DTH|1 Jar|Key Account,DTH,1 Jar,Key Account,2025-04-07,54.905940981699125
DTH|2 Jars|Key Account,DTH,2 Jars,Key Account,2025-04-07,38.18149592521426
DTH|CKM|Key Account,DTH,CKM,Key Account,2025-04-07,20.09237651128514
DTH|1 Jar|Regular,DTH,1 Jar,Regular,2025-04-07,418.11015687979943
DTH|2 Jars|Regular,DTH,2 Jars,Regular,2025-04-07,203.03679188975755
DTH|CKM|Regular,DTH,CKM,Regular,2025-04-07,123.89827156589281
DTH|1 Jar|Top Account,DTH,1 Jar,Top Account,2025-04-07,22.166757316248315
DTH|2 Jars|Top Account,DTH,2 Jars,Top Account,2025-04-07,12.904309031208902
DTH|CKM|Top Account,DTH,CKM,Top Account,2025-04-07,7.246765013912517
EBO|1 Jar|Key Account,EBO,1 Jar,Key Account,2025-04-07,101.86157216731196
