series_id,Channel,Category,Customer Segment,Week,origin_week,horizon,pred,actual,abs_err,APE
CG|1 Jar|Key Account,CG,1 Jar,Key Account,2024-11-18,2024-11-18,1,0.0972461199653527,259.595,259.4977538800347,0.9996253929391347
CG|1 Jar|Regular,CG,1 Jar,Regular,2024-11-18,2024-11-18,1,401.93526780012564,379.243,22.69226780012565,0.05983569321022576
CG|1 Jar|Top Account,CG,1 Jar,Top Account,2024-11-18,2024-11-18,1,64.64885071515127,69.839,5.190149284848729,0.07431591639125316
CG|2 Jars|Key Account,CG,2 Jars,Key Account,2024-11-18,2024-11-18,1,479.99943791837353,0.0,479.99943791837353,479999437.9183735
CG|2 Jars|Regular,CG,2 Jars,Regular,2024-11-18,2024-11-18,1,585.4913550240941,676.59,91.09864497590593,0.13464379458151307
CG|2 Jars|Top Account,CG,2 Jars,Top Account,2024-11-18,2024-11-18,1,107.03740137552262,137.019,29.981598624477385,0.21881343919075008
CG|3 Jars|Key Account,CG,3 Jars,Key Account,2024-11-18,2024-11-18,1,206.18822568361935,177.97,28.21822568361935,0.15855608070809324
CG|3 Jars|Regular,CG,3 Jars,Regular,2024-11-18,2024-11-18,1,209.38169656678966,217.612,8.230303433210338,0.037820999913655215
CG|3 Jars|Top Account,CG,3 Jars,Top Account,2024-11-18,2024-11-18,1,54.859527603439176,54.763,0.09652760343917777,0.001762642722991395
CG|CKM|Key Account,CG,CKM,Key Account,2024-11-18,2024-11-18,1,363.8887864081269,308.449,55.439786408126906,0.17973728690359478
CG|CKM|Regular,CG,CKM,Regular,2024-11-18,2024-11-18,1,523.723969772191,450.316,73.40796977219105,0.16301434941727821
CG|CKM|Top Account,CG,CKM,Top Account,2024-11-18,2024-11-18,1,87.004867461793,83.329,3.675867461793004,0.04411270340209296
CG|NB Smart 2 Jar|Key Account,CG,NB Smart 2 Jar,Key Account,2024-11-18,2024-11-18,1,0.09847953938303121,287.463,287.364520460617,0.9996574183829465
CG|NB Smart 2 Jar|Regular,CG,NB Smart 2 Jar,Regular,2024-11-18,2024-11-18,1,381.83032203696206,356.491,25.339322036962074,0.071079836621295
CG|NB Smart 2 Jar|Top Account,CG,NB Smart 2 Jar,Top Account,2024-11-18,2024-11-18,1,69.21054844930423,62.396,6.814548449304226,0.1092145081303966
Canteen|2 Jars|Key Account,Canteen,2 Jars,Key Account,2024-11-18,2024-11-18,1,86.34500270488792,76.644,9.701002704887912,0.12657223924753291
Canteen|2 Jars|Regular,Canteen,2 Jars,Regular,2024-11-18,2024-11-18,1,937.8243628653208,1076.214,138.3896371346791,0.12858932994244557
Canteen|2 Jars|Top Account,Canteen,2 Jars,Top Account,2024-11-18,2024-11-18,1,24.402269388550632,20.198,4.204269388550632,0.20815275713192552
Canteen|3 Jars|Key Account,Canteen,3 Jars,Key Account,2024-11-18,2024-11-18,1,62.92330759931637,45.873,17.05030759931637,0.3716850347550056
Canteen|3 Jars|Regular,Canteen,3 Jars,Regular,2024-11-18,2024-11-18,1,0.11329516784028236,526.287,526.1737048321597,0.9997847274056925
Canteen|3 Jars|Top Account,Canteen,3 Jars,Top Account,2024-11-18,2024-11-18,1,13.556176251728775,0.0,13.556176251728775,13556176.251728777
Canteen|CKM|Key Account,Canteen,CKM,Key Account,2024-11-18,2024-11-18,1,31.175949610985544,28.029,3.146949610985544,0.11227477294892947
Canteen|CKM|Regular,Canteen,CKM,Regular,2024-11-18,2024-11-18,1,344.5730441419085,278.668,65.90504414190849,0.2365002229962123
Canteen|CKM|Top Account,Canteen,CKM,Top Account,2024-11-18,2024-11-18,1,7.369350664793865,8.142,0.7726493352061343,0.0948967495954476
Canteen|NB Smart 2 Jar|Key Account,Canteen,NB Smart 2 Jar,Key Account,2024-11-18,2024-11-18,1,20.618530886249847,17.736,2.882530886249846,0.16252429444349606
Canteen|NB Smart 2 Jar|Regular,Canteen,NB Smart 2 Jar,Regular,2024-11-18,2024-11-18,1,214.9763346273298,220.151,5.174665372670205,0.023505073211887318
Canteen|NB Smart 2 Jar|Top Account,Canteen,NB Smart 2 Jar,Top Account,2024-11-18,2024-11-18,1,5.820144938710729,4.944,0.8761449387107287,0.17721378210168462
DTH|1 Jar|Key Account,DTH,1 Jar,Key Account,2024-11-18,2024-11-18,1,94.83339893151947,83.283,11.550398931519467,0.13868855506549316
DTH|1 Jar|Regular,DTH,1 Jar,Regular,2024-11-18,2024-11-18,1,490.99020874997206,545.372,54.3817912500279,0.09971504083456413
DTH|1 Jar|Top Account,DTH,1 Jar,Top Account,2024-11-18,2024-11-18,1,38.17329087527685,24.897,13.27629087527685,0.5332486193226835
DTH|2 Jars|Key Account,DTH,2 Jars,Key Account,2024-11-18,2024-11-18,1,51.67520803150095,39.503,12.17220803150095,0.3081337627901919
DTH|2 Jars|Regular,DTH,2 Jars,Regular,2024-11-18,2024-11-18,1,206.53599582370381,185.226,21.309995823703815,0.11504862073199128
DTH|2 Jars|Top Account,DTH,2 Jars,Top Account,2024-11-18,2024-11-18,1,14.59645435105078,14.471,0.12545435105077907,0.008669362936271099
DTH|CKM|Key Account,DTH,CKM,Key Account,2024-11-18,2024-11-18,1,29.51278851657825,22.045,7.467788516578249,0.33875203069078014
DTH|CKM|Regular,DTH,CKM,Regular,2024-11-18,2024-11-18,1,171.0014464762102,107.343,63.65844647621019,0.5930377060098021
DTH|CKM|Top Account,DTH,CKM,Top Account,2024-11-18,2024-11-18,1,0.20118442747094406,9.898,9.696815572529056,0.9796742344442368
EBO|1 Jar|Key Account,EBO,1 Jar,Key Account,2024-11-18,2024-11-18,1,138.91755007235574,104.884,34.03355007235574,0.32448752976960965
EBO|1 Jar|Regular,EBO,1 Jar,Regular,2024-11-18,2024-11-18,1,399.43685062046643,353.812,45.62485062046642,0.12895224192640842
EBO|1 Jar|Top Account,EBO,1 Jar,Top Account,2024-11-18,2024-11-18,1,29.976598611461018,26.71,3.266598611461017,0.12229871252193998
EBO|2 Jars|Key Account,EBO,2 Jars,Key Account,2024-11-18,2024-11-18,1,117.30177120288357,108.458,8.843771202883573,0.08154097625701721
EBO|2 Jars|Regular,EBO,2 Jars,Regular,2024-11-18,2024-11-18,1,334.6972553013357,303.723,30.97425530133569,0.10198192201886484
EBO|2 Jars|Top Account,EBO,2 Jars,Top Account,2024-11-18,2024-11-18,1,24.688588934617883,19.45,5.2385889346178836,0.26933619201120224
EBO|Blender|Key Account,EBO,Blender,Key Account,2024-11-18,2024-11-18,1,97.38152433883101,66.164,31.217524338831012,0.47182039082931826
EBO|Blender|Regular,EBO,Blender,Regular,2024-11-18,2024-11-18,1,283.4464027276321,256.185,27.261402727632117,0.10641295441822166
EBO|Blender|Top Account,EBO,Blender,Top Account,2024-11-18,2024-11-18,1,17.62182149399863,19.74,2.1181785060013674,0.10730387568395985
EBO|CKM|Key Account,EBO,CKM,Key Account,2024-11-18,2024-11-18,1,64.75782362022196,78.905,14.147176379778045,0.17929378847700456
EBO|CKM|Regular,EBO,CKM,Regular,2024-11-18,2024-11-18,1,218.9041302545451,196.78,22.124130254545094,0.11243078694249971
EBO|CKM|Top Account,EBO,CKM,Top Account,2024-11-18,2024-11-18,1,0.20591591150001975,15.199,14.99308408849998,0.9864520092440279
ECOM B2B|2 Jars|Key Account,ECOM B2B,2 Jars,Key Account,2024-11-18,2024-11-18,1,188.75481844021692,0.0,188.75481844021692,188754818.44021693
ECOM B2B|2 Jars|Regular,ECOM B2B,2 Jars,Regular,2024-11-18,2024-11-18,1,162.36953853240394,131.008,31.361538532403927,0.23938643848012278
ECOM B2B|2 Jars|Top Account,ECOM B2B,2 Jars,Top Account,2024-11-18,2024-11-18,1,35.235553372987646,36.363,1.127446627012354,0.031005324836024365
ECOM B2B|CKM|Key Account,ECOM B2B,CKM,Key Account,2024-11-18,2024-11-18,1,133.81236062888908,140.79,6.977639371110911,0.04956061773642241
ECOM B2B|CKM|Regular,ECOM B2B,CKM,Regular,2024-11-18,2024-11-18,1,0.11624195972498265,107.793,107.67675804027502,0.9989216186605346
ECOM B2B|CKM|Top Account,ECOM B2B,CKM,Top Account,2024-11-18,2024-11-18,1,24.580080704439002,29.427,4.846919295560998,0.16470993630206945
ECOM B2B|FP|Key Account,ECOM B2B,FP,Key Account,2024-11-18,2024-11-18,1,83.8705312754611,81.869,2.0015312754611045,0.024447975124419555
ECOM B2B|FP|Regular,ECOM B2B,FP,Regular,2024-11-18,2024-11-18,1,63.041997952839765,51.073,11.968997952839764,0.2343507910802139
ECOM B2B|FP|Top Account,ECOM B2B,FP,Top Account,2024-11-18,2024-11-18,1,13.280163546011556,14.784,1.5038364539884448,0.10172053936610151
ECOM B2B|Thunder|Key Account,ECOM B2B,Thunder,Key Account,2024-11-18,2024-11-18,1,71.2406729747425,0.0,71.2406729747425,71240672.9747425
ECOM B2B|Thunder|Regular,ECOM B2B,Thunder,Regular,2024-11-18,2024-11-18,1,47.16458297910289,43.59,3.5745829791028854,0.08200465655202764
ECOM B2B|Thunder|Top Account,ECOM B2B,Thunder,Top Account,2024-11-18,2024-11-18,1,15.316366379750836,13.44,1.876366379750836,0.13961059373146104
ECOM B2C|1 Jar|Key Account,ECOM B2C,1 Jar,Key Account,2024-11-18,2024-11-18,1,33.47073293378559,24.352,9.11873293378559,0.3744551960325883
