H,Channel,MAE,MAPE,sMAPE
1,CG,75.90853620495135,2528636399.7813835,41.65842880126347
1,Canteen,62.37491953655873,1656938196.6540887,35.889039501801975
1,DTH,35.39096178030698,830100975.377744,38.656242661640434
1,EBO,36.84618045873466,1312505288.1251135,44.48168148339464
1,ECOM B2B,24.06035790027965,835025211.811977,42.98520067007396
1,ECOM B2C,46.403086001008525,497047951.0852506,41.534896939252754
1,Export,7.519942626335636,233648808.4387251,43.316672128453185
1,GT,142.355101600051,4051008940.925328,42.70500493762577
1,MT,93.7214073036298,2101829317.4637263,40.38035350834491
1,Others,13.532112471298431,423667555.5928561,46.431745658068834
1,Website,21.36991435213863,787150376.7668163,49.540051905684415
2,CG,63.143382225883784,1706913302.9676988,39.305774909037176
2,Canteen,59.7355308163902,1547643382.9566896,35.262352513785075
2,DTH,38.48235788307577,986850432.6841109,42.14022794682499
2,EBO,35.14742361217771,1368815038.8360248,45.82109503114915
2,ECOM B2B,22.330574784709473,570890540.6997218,40.94940770314101
2,ECOM B2C,54.12290995445079,886479780.2601953,43.95285422220944
2,Export,7.891917222167475,221905618.83536735,45.68096079957782
2,GT,181.15757017855145,6190610696.245406,48.010070503285434
2,MT,91.14291553199283,2170312760.9758296,39.50029998439771
2,Others,9.89696704108451,202144143.0807336,45.42375304503199
2,Website,19.674415761148172,675680619.708878,48.19269952994673
3,CG,68.44696957375781,2137559775.314296,43.27227041620178
3,Canteen,52.49773090003949,626929610.4063348,35.27230301245406
3,DTH,35.383578154953646,885759530.9812708,41.24818248364438
3,EBO,35.7565219445686,1449463710.6343806,50.27074394030633
3,ECOM B2B,22.156902155799628,792491581.4718447,44.750001829925786
3,ECOM B2C,55.58005819689777,914486778.3096473,44.073786997188456
3,Export,9.289107041527766,365123976.8844267,51.91263794531221
3,GT,163.753179808527,6264152939.952995,47.50365339166475
3,MT,88.3802824199286,1947341667.6628451,37.85932684068242
3,Others,12.589232266091603,314490846.7248053,48.895601819985544
3,Website,15.693551837342811,441302557.5821287,47.42201715862028
4,CG,70.85177054965918,2352057388.2780595,46.7896409252236
4,Canteen,43.45760681005498,193968165.37023124,31.328233107545316
4,DTH,29.2766766356213,796305964.5497427,40.699676150127864
4,EBO,37.9410593494755,1548850800.7190044,50.654332719454445
4,ECOM B2B,27.43782021458242,944973394.3607489,51.316617414227586
4,ECOM B2C,51.04689102738375,822554344.7156892,43.1891633312193
4,Export,10.506573190525787,380067067.51677287,58.67731165604613
4,GT,171.2863778787933,7223707703.749901,49.613880781288316
4,MT,81.53791177012478,2086631404.7853112,39.043386164254876
4,Others,7.478394043728823,40894983.22385575,45.44344581991664
4,Website,19.324329141483112,536828440.719557,50.73105196249128
5,CG,60.31038247727727,1818986017.4898412,44.631050275802316
5,Canteen,55.61919418854141,827403926.3518199,37.10187643575068
5,DTH,33.17506628703998,970426014.8207523,44.157976973447965
5,EBO,39.184245998287516,1675327284.2472463,53.49459559652951
5,ECOM B2B,24.739955547705815,888102063.0113728,46.53674654726881
5,ECOM B2C,47.62100510470466,878741742.530441,43.45324159507885
5,Export,10.442302337388224,332645116.6570801,57.765553171409024
5,GT,183.64232563777477,7249172553.223601,49.53694973714113
5,MT,86.45557828486719,1824369098.3112023,36.182546960106926
5,Others,10.103558718166362,64990256.60912014,48.00403337477617
5,Website,16.84902889389064,281101253.4156313,47.590439529947496
6,CG,68.06329217368132,1877359306.9181285,45.157829438190795
