H,Customer Segment,MAE,MAPE,sMAPE
1,Key Account,45.292030538570856,1338102350.1590343,44.25262886126256
1,Regular,107.3095282479974,2835913717.2578073,44.35937393206987
1,Top Account,12.085009797484735,352762771.5989956,36.977751987312914
2,Key Account,40.203385608377744,1186338529.2208035,43.085311541946254
2,Regular,119.6483828340786,3407261515.9067197,45.68311150643025
2,Top Account,12.498788740162702,364502262.04665506,38.78700059264851
3,Key Account,41.17067549784446,1316469553.939566,45.177273452324904
3,Regular,112.38227928829546,3241021011.513079,46.45085628618646
3,Top Account,11.679545152574308,314972682.327827,40.788925399132864
4,Key Account,42.633977552704316,1451923175.3364663,46.72939906307204
4,Regular,108.88199911828411,3425134642.8009315,46.52452776692093
4,Top Account,12.038281319669993,311039918.6650744,43.777529479263485
5,Key Account,40.27912424576591,1273026949.6075754,46.01998932878808
5,Regular,116.31768636926023,3594570106.494873,46.803498985564296
5,Top Account,12.174422094959823,232911853.87491062,44.12232936865427
6,Key Account,43.25571179798137,1208253536.5492508,47.27866769734097
6,Regular,102.44459569077907,2532093415.869014,45.56325562783968
6,Top Account,11.967343193757172,270616722.8183444,44.73294313190419
7,Key Account,38.596764611500184,974288528.7996179,46.39032485055877
7,Regular,91.66444866568357,1435759232.9283135,45.99640355029714
7,Top Account,12.568565939486932,223048751.2234468,46.67584732666252
8,Key Account,38.93667626326187,1004042336.1873858,48.1011719284481
8,Regular,93.55826096527505,1857610464.5196636,48.223421644866434
8,Top Account,11.941703427722103,157582086.18709263,46.002335526985
9,Key Account,41.45681730357465,1101823798.7363477,49.44838204335489
9,Regular,95.81847793266004,1965196775.6411712,49.58737482334147
9,Top Account,12.713215756844956,166738922.1338741,46.03300633603894
10,Key Account,43.348142405547144,1166376484.5991073,50.627331339413075
10,Regular,99.51617983483379,2333649159.1033044,51.250852688303574
10,Top Account,12.771296798630159,209254323.0468652,46.78277122365041
11,Key Account,43.81650246346449,1237382133.278283,50.90078144689025
11,Regular,96.88818272893116,1932218810.426869,51.591611240621425
11,Top Account,13.519548238093298,210465767.94096166,46.54021939702088
12,Key Account,43.97749569527462,1213842849.3347912,50.73785665737288
12,Regular,97.43159747524311,1639817873.6551735,50.024101297667364
12,Top Account,13.57710384296967,209286290.5982197,50.68971422774767
13,Key Account,48.087371254122345,1276952288.294384,55.515997584889
13,Regular,113.4874761988672,2208465113.887115,54.928550600802104
13,Top Account,16.363479211801298,358853932.09398293,54.28074057960227
