feature,importance
Quantity_rmean4,1874
week_of_year,1636
Quantity_lag1,1534
Invoices,1265
Quantity_lag2,1135
Quantity_lag4,1040
Quantity_lag3,1034
Quantity_rmean13,991
month_num,893
ASP,699
Quantity_lag13,558
Customers,482
Cities Billed,249
year,121
quarter,49
OHE_REGULAR,39
OHE_GT,32
OHE_2JARS,18
OHE_CG,17
OHE_1JAR,12
OHE_EXPORT,12
OHE_3JARS,11
OHE_KEY,11
OHE_ECOMB2C,10
OHE_NBSMART2JAR,6
OHE_TOP,5
OHE_CKM,4
OHE_MT,3
OHE_EBO,0
OHE_DTH,0
OHE_ECOMB2B,0
OHE_CANTEEN,0
OHE_STORM,0
OHE_SIPPERJAR,0
OHE_PERSONALBLENDER,0
OHE_COMBOS,0
OHE_WEBSITE,0
OHE_BLENDER,0
OHE_OTHERS,0
OHE_NBSMARTCKM,0
OHE_NBSMART3JAR,0
OHE_GIFTCOMBOS,0
OHE_FP,0
OHE_THUNDER,0
