series_id,Channel,Category,Customer Segment,Forecast Month,Forecast
CG|1 Jar|Key Account,CG,1 Jar,Key Account,2025-04,183.80892779517455
CG|2 Jars|Key Account,CG,2 Jars,Key Account,2025-04,182.14368424778195
CG|3 Jars|Key Account,CG,3 Jars,Key Account,2025-04,71.17964606449645
CG|Blender|Key Account,CG,Blender,Key Account,2025-04,0.022763699588951237
CG|CKM|Key Account,CG,CKM,Key Account,2025-04,64.61555602255252
CG|Combos|Key Account,CG,Combos,Key Account,2025-04,0.016839994425713354
CG|FP|Key Account,CG,FP,Key Account,2025-04,0.013787605444557042
CG|Gift Combos|Key Account,CG,Gift Combos,Key Account,2025-04,0.016839994425713354
CG|NB Smart 2 Jar|Key Account,CG,NB Smart 2 Jar,Key Account,2025-04,22.21407816366725
CG|NB Smart 3 Jar|Key Account,CG,NB Smart 3 Jar,Key Account,2025-04,30.303315834909295
CG|NB Smart CKM|Key Account,CG,NB Smart CKM,Key Account,2025-04,6.982120766761226
CG|Personal Blender|Key Account,CG,Personal Blender,Key Account,2025-04,0.016839994425713354
CG|Sipper Jar|Key Account,CG,Sipper Jar,Key Account,2025-04,0.020217341131948695
CG|Storm|Key Account,CG,Storm,Key Account,2025-04,0.016839994425713354
CG|Thunder|Key Account,CG,Thunder,Key Account,2025-04,0.016839994425713354
CG|1 Jar|Regular,CG,1 Jar,Regular,2025-04,1166.8402399080778
CG|2 Jars|Regular,CG,2 Jars,Regular,2025-04,838.8719812115199
CG|3 Jars|Regular,CG,3 Jars,Regular,2025-04,102.23960165291042
CG|Blender|Regular,CG,Blender,Regular,2025-04,0.02117725630121961
CG|CKM|Regular,CG,CKM,Regular,2025-04,434.9073999161816
CG|Combos|Regular,CG,Combos,Regular,2025-04,0.02085321609940126
CG|FP|Regular,CG,FP,Regular,2025-04,21.67985440074955
CG|Gift Combos|Regular,CG,Gift Combos,Regular,2025-04,0.02085321609940126
CG|NB Smart 2 Jar|Regular,CG,NB Smart 2 Jar,Regular,2025-04,21.823706285451532
CG|NB Smart 3 Jar|Regular,CG,NB Smart 3 Jar,Regular,2025-04,30.26449124513827
CG|NB Smart CKM|Regular,CG,NB Smart CKM,Regular,2025-04,9.161953975294551
CG|Personal Blender|Regular,CG,Personal Blender,Regular,2025-04,0.02085321609940126
CG|Sipper Jar|Regular,CG,Sipper Jar,Regular,2025-04,0.02503543486547091
CG|Storm|Regular,CG,Storm,Regular,2025-04,0.020727907994279097
CG|Thunder|Regular,CG,Thunder,Regular,2025-04,0.021574215625496017
CG|1 Jar|Top Account,CG,1 Jar,Top Account,2025-04,0.010548450885546394
CG|2 Jars|Top Account,CG,2 Jars,Top Account,2025-04,0.014906483781054818
CG|3 Jars|Top Account,CG,3 Jars,Top Account,2025-04,0.010312278981467415
CG|Blender|Top Account,CG,Blender,Top Account,2025-04,0.015214298581520945
CG|CKM|Top Account,CG,CKM,Top Account,2025-04,0.00982118678824298
CG|Combos|Top Account,CG,Combos,Top Account,2025-04,0.010529224890951708
CG|FP|Top Account,CG,FP,Top Account,2025-04,0.008980026817091721
CG|Gift Combos|Top Account,CG,Gift Combos,Top Account,2025-04,0.010529224890951708
CG|NB Smart 2 Jar|Top Account,CG,NB Smart 2 Jar,Top Account,2025-04,0.007882848254092778
CG|NB Smart 3 Jar|Top Account,CG,NB Smart 3 Jar,Top Account,2025-04,0.009695655063173577
CG|NB Smart CKM|Top Account,CG,NB Smart CKM,Top Account,2025-04,0.0062412526232138495
CG|Personal Blender|Top Account,CG,Personal Blender,Top Account,2025-04,0.010529224890951708
CG|Sipper Jar|Top Account,CG,Sipper Jar,Top Account,2025-04,0.012493774102781954
CG|Storm|Top Account,CG,Storm,Top Account,2025-04,0.010529224890951708
CG|Thunder|Top Account,CG,Thunder,Top Account,2025-04,0.010529224890951708
Canteen|1 Jar|Key Account,Canteen,1 Jar,Key Account,2025-04,0.01066476788992041
Canteen|2 Jars|Key Account,Canteen,2 Jars,Key Account,2025-04,0.015619741235391251
Canteen|3 Jars|Key Account,Canteen,3 Jars,Key Account,2025-04,0.011679079883602839
Canteen|Blender|Key Account,Canteen,Blender,Key Account,2025-04,0.015730466183633197
Canteen|CKM|Key Account,Canteen,CKM,Key Account,2025-04,0.01068194621826621
Canteen|Combos|Key Account,Canteen,Combos,Key Account,2025-04,0.011636990806838318
Canteen|FP|Key Account,Canteen,FP,Key Account,2025-04,0.009527689484364435
