feature,importance
ASP,4025
Quantity_lag1,2968
Invoices,2603
Quantity_lag2,2394
Quantity_lag3,2295
Quantity_rmean3,2183
Cities Billed,2147
Customers,1881
month_num,1787
Quantity_rmean6,1687
OHE_CG,340
OHE_REGULAR,296
OHE_MT,280
OHE_ECOMB2C,234
year,226
OHE_TOP,219
OHE_WEBSITE,215
OHE_ECOMB2B,211
OHE_2JARS,205
OHE_CKM,168
OHE_KEY,166
OHE_DTH,154
OHE_NBSMART2JAR,153
OHE_EXPORT,141
OHE_SIPPERJAR,135
OHE_GT,113
OHE_FP,109
OHE_CANTEEN,102
OHE_EBO,101
OHE_3JARS,95
OHE_1JAR,84
OHE_NBSMARTCKM,65
quarter,62
OHE_BLENDER,61
OHE_THUNDER,39
OHE_OTHERS,24
OHE_NBSMART3JAR,14
OHE_STORM,8
OHE_COMBOS,0
OHE_GIFTCOMBOS,0
OHE_PERSONALBLENDER,0
